date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,North Yorkshire,E10000023,516180,82990,47623,72377,33901,87830,178949,12510,34.67%,17.02%,14.02%,9.23%,16.08%
2021,Nottinghamshire,E10000024,679068,131460,69090,95197,41598,120687,203107,17929,29.91%,17.77%,14.02%,10.17%,19.36%
2021,Oxfordshire,E10000025,595033,80414,50899,70337,27611,101688,249905,14179,42.00%,17.09%,11.82%,8.55%,13.51%
2021,Somerset,E10000027,474940,81075,48500,72670,30819,83785,144903,13188,30.51%,17.64%,15.30%,10.21%,17.07%
2021,Staffordshire,E10000028,726398,140207,75857,105827,44202,130440,210506,19359,28.98%,17.96%,14.57%,10.44%,19.30%
2021,Suffolk,E10000029,630359,124047,70524,92876,40753,106164,177232,18763,28.12%,16.84%,14.73%,11.19%,19.68%
2021,Surrey,E10000030,972512,125027,82079,127462,40761,160632,411979,24572,42.36%,16.52%,13.11%,8.44%,12.86%
2021,Warwickshire,E10000031,490566,82751,46971,65835,26722,83442,172279,12566,35.12%,17.01%,13.42%,9.57%,16.87%
2021,West Sussex,E10000032,727120,114595,76671,110257,39274,127535,238010,20778,32.73%,17.54%,15.16%,10.54%,15.76%
2021,Worcestershire,E10000034,499359,89931,49570,71333,28778,84863,161401,13483,32.32%,16.99%,14.28%,9.93%,18.01%
2021,Isle of Anglesey,W06000001,57147,10270,4828,8455,3752,9930,18445,1467,32.28%,17.38%,14.80%,8.45%,17.97%
2021,Gwynedd,W06000002,97968,15937,7421,14302,5715,18370,33807,2416,34.51%,18.75%,14.60%,7.57%,16.27%
2021,Conwy,W06000003,96364,17998,8317,13890,6111,15948,31232,2868,32.41%,16.55%,14.41%,8.63%,18.68%
2021,Denbighshire,W06000004,78908,15668,7175,11990,4966,12903,24010,2196,30.43%,16.35%,15.19%,9.09%,19.86%
2021,Flintshire,W06000005,127578,23373,12648,19486,8431,22746,37209,3685,29.17%,17.83%,15.27%,9.91%,18.32%
2021,Wrexham,W06000006,110275,23095,10473,16995,6816,17690,32037,3169,29.05%,16.04%,15.41%,9.50%,20.94%
2021,Ceredigion,W06000008,61391,9036,4513,8411,3297,13036,21653,1445,35.27%,21.23%,13.70%,7.35%,14.72%
2021,Pembrokeshire,W06000009,102551,19283,9333,15533,6373,17462,31991,2576,31.20%,17.03%,15.15%,9.10%,18.80%
2021,Carmarthenshire,W06000010,155486,31165,13267,23691,9652,25018,48644,4049,31.29%,16.09%,15.24%,8.53%,20.04%
2021,Swansea,W06000011,197861,37304,15552,27362,11525,36055,64835,5228,32.77%,18.22%,13.83%,7.86%,18.85%
2021,Neath Port Talbot,W06000012,117182,27722,10667,17359,7557,20433,30280,3164,25.84%,17.44%,14.81%,9.10%,23.66%
2021,Bridgend,W06000013,119482,25993,10624,17717,6572,19477,35852,3247,30.01%,16.30%,14.83%,8.89%,21.75%
2021,Vale of Glamorgan,W06000014,107457,16740,8902,15459,5671,17835,40062,2788,37.28%,16.60%,14.39%,8.28%,15.58%
2021,Cardiff,W06000015,296313,48399,20457,32900,11522,56856,118529,7650,40.00%,19.19%,11.10%,6.90%,16.33%
2021,Rhondda Cynon Taff,W06000016,193841,46915,18283,29121,9966,32637,51749,5170,26.70%,16.84%,15.02%,9.43%,24.20%
2021,Caerphilly,W06000018,143482,34625,14433,22242,7889,24146,36306,3841,25.30%,16.83%,15.50%,10.06%,24.13%
2021,Blaenau Gwent,W06000019,55144,15376,5980,8554,3151,8647,11892,1544,21.57%,15.68%,15.51%,10.84%,27.88%
2021,Torfaen,W06000020,75113,16631,7697,11458,4311,12736,20128,2152,26.80%,16.96%,15.25%,10.25%,22.14%
2021,Monmouthshire,W06000021,78239,12315,6463,10589,3958,12172,30809,1933,39.38%,15.56%,13.53%,8.26%,15.74%
2021,Newport,W06000022,127423,27690,11741,18188,6498,19978,39544,3784,31.03%,15.68%,14.27%,9.21%,21.73%
2021,Powys,W06000023,112536,21316,9694,16747,6868,19125,35849,2937,31.86%,16.99%,14.88%,8.61%,18.94%
2021,Merthyr Tydfil,W06000024,47674,12831,4556,6911,2713,7453,11911,1299,24.98%,15.63%,14.50%,9.56%,26.91%
